,store,sido,gugun,address
0,서대문역,서울,서대문구,서울시 서대문구 충정로 60 KT&G; 빌딩 1층
1,김포DT,경기도,김포시,경기 김포시 김포대로 1135
2,경기광주휴게소 서울방향,경기도,광주시,경기 광주시 곤지암읍 만삼로 211
3,대전문지,대전,유성구,대전 유성구 문지로 299번길 86-11
4,서청주DT,충청북도,청주시,충북 청주시 흥덕구 2순환로 1067-2
5,동천동강병원,울산,중구,울산 중구 외솔큰길 215 (지번) 남외동 514-1
6,예산휴게소(대전방향),충청남도,예산군,충남 예산군 신양면 당진영덕고속도로 34
7,칠곡휴게소 서울방향,경상북도,칠곡군,경상북도 칠곡군 왜관읍 경부고속도로 158
8,칠곡휴게소 부산방향,경상북도,칠곡군,경상북도 칠곡군 왜관읍 경부고속도로 159
9,전주삼천,전라북도,전주시,전라북도 전주시 완산구 용리로 54
10,덕소라임스퀘어,경기도,남양주시,"경기 남양주시 와부읍 덕소로97번길 67, 라임스퀘어빌딩"
11,죽전휴게소 서울방향,경기도,용인시,경기도 용인시 수지구 경부고속도로 400
12,청주하나로,충청북도,청주시,충북 청주시 상당구 무농정로32
13,남대전DT,대전,동구,대전광역시 동구 대전로 255
14,영등포병원,서울,영등포구,서울 영등포구 당산로 31길 10
15,영종하늘도시,인천,중구,인천 중구 하늘별빛로 65번길 8-21
16,파주야당,경기도,파주시,"경기도 파주시 경의로 1024,1층"
17,화성반월DI점,경기도,화성시,경기도 화성시 반월동 311-75  1층
18,청주동남시티,충청북도,청주시,"충죽 청주시 상당구 중고개로 129, 1층"
19,신금호역,서울,성동구,서울 성동구 무수막길 95 솔베이그빌딩
20,경산중방DI,경상북도,경산시,"경상북도 경산시 중방동 909 1,2층"
21,평택세교DT점,경기도,평택시,경기도 평택시 세교동 436-1
22,함안휴게소(순천),경상남도,함안군,경남 함안군 군북면 현포로 205-1
23,부산사직,부산,동래구,"부산광역시 동래구 아시아드대로 141, 1층"
24,의왕역,경기도,의왕시,경기도 의왕시 삼동 208-12
25,대구법원,대구,수성구,"대구시 수성구 동대구로 371-1, 1층"
26,남양주알프하임,경기도,남양주시,"경기도 남양주시 백봉로 32, B-2동 지1층 101~105호(호평동 두산 알프하임 상가동)"
27,파주문산DI,경기도,파주시,"경기도 파주시 문산읍 우계로 424, 101호"
28,세종베스트웨스턴호텔,세종시특별자치시,도움1로,"세종특별자치시 도움1로 7, 1층 111~116호(어진동540)"
29,천호로데오,서울,강동구,"서울시 강동구 구천면로 212, 1층"
30,유명산DI,경기도,가평군,경기도 가평군 어비산길 16
31,창녕점,경상남도,창녕군,경남 창녕군 창녕읍 화왕산로 134
32,제주한라대,제주도,제주시,"제주특별자치도 제주시 고사마루길 2, 1층"
33,용산삼각지,서울,용산구,"서울 용산구 한강로2가 426 용산트리스퀘어 101동 104호, 105호(용산구 백범로 99길 40)"
34,대구가톨릭대로 DI,대구,남구,대구 남구 두류공원로 64
35,광주쌍촌,광주,서구,"광주광역시 서구 상일로 58 1층,2층"
36,대전원내,대전,유성구,대전 유성구 진잠로92번길 85
37,울산남구무궁화점,울산,남구,울산광역시 남구 왕생로 146(달동)
38,한마음국제의료원점,경상남도,창원시,"경상남도 창원시 의창구 용동로 57번길 8, 1층"
39,해운대중동점,부산,해운대구,"부산광역시 해운대구 좌동로 47, 1층"
40,청주시실리점,충청북도,청주시,충북 청주시 흥덕구 강내면 가로수로 480
41,광양중마점,전라남도,광양시,전라남도 광양시 시청로 62 101동 111호 e편한세상
42,성신여대점,서울,성북구,서울시 성북구 동소문로 115-1
43,수원시청역점,경기도,수원시,경기도 수원시 팔달구 인계로 166번길 48-21
44,원주터미널점,강원도,원주시,"강원도 원주시 서원대로 165-1, 1층(단계동)"
45,용인(인천)휴게소 상행점,경기도,용인시,경기도 용인시 처인구 고림동 81-2(주북로 94번길 66-14)
46,용인(강릉)휴게소 하행점,경기도,용인시,경기도 용인시 처인구 고림동 12-6(주북로 94번길 30-1)
47,북대전점,대전,유성구,"대전 유성구 대덕대로 1097 (송강동 141-2, 1,2층)"
48,목포 옥암법원점,전라남도,목포시,전라남도 목포시 정의로 10
49,광주매곡점,광주,북구,광주광역시 북구 서하로 79
